Korporat Code,Variant Seller/Vendor/Reference,Variant Seller/Percentage,Variant Seller/Delivery Lead Time,Variant Seller/QC Leadtime in days,Variant Seller/Min Qty,Variant Seller/Lot Size,Variant Seller/Vendor/Display Name,Variant Seller/Purchase Start Date,Variant Seller/Purchase End Date,Variant Seller/Incoterms,Variant Seller/Company/Display Name
DUS-LPRL01R1-W,2200043,0.4,4,2,20000,100,"KALINGGA JAYA, CV",2021-01-25,2022-01-19,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL01R1-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-11-26,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL01R1-W,2200152,0.4,4,2,100000,100,"KALINGGA JAYA PRIMA, PT",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL01R2-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R0-W,2200043,0.7,4,2,100000,100,"KALINGGA JAYA, CV",2021-01-25,2021-12-23,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R0-W,2200072,0.3,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-01-25,2021-12-23,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R0-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R0-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R1-W,2200043,0.4,4,2,100000,100,"KALINGGA JAYA, CV",2021-01-25,2021-11-05,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R1-W,2200043,0.4,4,2,20000,100,"KALINGGA JAYA, CV",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R1-W,2200043,0.4,4,2,20000,100,"KALINGGA JAYA, CV",2021-01-25,2022-01-19,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R1-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-11-26,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R1-W,2200152,0.4,4,2,100000,100,"KALINGGA JAYA PRIMA, PT",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL02R2-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R0-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-12-28,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R0-W,2200072,1,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-01-25,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R0-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-28,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R1-W,2200043,0.4,4,2,100000,100,"KALINGGA JAYA, CV",2021-01-25,2021-11-08,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R1-W,2200043,0.4,4,2,20000,100,"KALINGGA JAYA, CV",2021-01-25,2022-01-20,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R1-W,2200043,0.4,4,2,20000,100,"KALINGGA JAYA, CV",2021-01-25,2022-01-21,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R1-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-11-26,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R1-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL03R2-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL04R0-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-12-30,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL04R0-W,2200072,1,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-01-25,2021-01-25,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL04R0-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-30,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL04R1-W,2200043,0.4,4,2,100000,100,"KALINGGA JAYA, CV",2021-01-25,2021-11-08,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL04R1-W,2200043,0.4,4,2,20000,100,"KALINGGA JAYA, CV",2021-01-25,2022-01-20,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL04R1-W,2200072,0.6,4,2,100000,100,"PURA BARUTAMA, PT (OFFSET)",2021-11-26,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL04R1-W,2200152,0.4,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-01-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
DUS-LPRL04R2-W,2200152,1,4,2,20000,100,"KALINGGA JAYA PRIMA, PT",2021-12-23,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
